,temp,time,operation,L_before,a_before,b_before,L_after,a_after,b_after,delta_L,delta_a,delta_b,color_diff_E
0,225,10,mean,74.53020833333333,2.125,20.418541666666666,70.92083333333333,2.1158333333333332,24.014791666666667,-3.609375,-0.009166666666666679,3.5962499999999995,5.213956959985218
1,225,10,std,1.8210979732057766,0.6949483372808095,2.337092200935547,1.8292107742787844,0.7608025810786176,2.2724576531722196,0.7011097775760692,0.1852868200217135,1.6919089369891718,1.446785483784093
2,225,20,mean,75.92645833333334,2.3197916666666667,19.023958333333333,71.73854166666666,2.6014583333333334,22.003749999999997,-4.187916666666666,0.2816666666666667,2.979791666666666,5.2068706625851044
3,225,20,std,4.621558864566423,0.8313754038078932,2.3680000894761104,5.296520330863295,1.3379946722269864,2.237928016829549,0.7782548899678466,0.5337555952502914,0.372470130650701,0.6272990938225129
4,225,30,mean,74.44270833333333,2.298541666666667,19.978958333333335,68.89333333333333,2.7075,22.995,-5.549375000000002,0.4089583333333333,3.0160416666666663,6.409673093130734
5,225,30,std,2.735932482978781,0.4793212824859456,2.35134930894902,3.720494323901649,0.8730272594510899,2.693342461890295,1.3336358976297866,0.45851861180969145,0.6845366178705664,1.1754259891046197
6,225,40,mean,70.69687499999999,1.0754166666666667,20.401875,63.171875,1.5770833333333334,22.891458333333333,-7.525000000000001,0.5016666666666667,2.4895833333333335,7.991020802415818
7,225,40,std,2.597088514086495,0.4102617655985709,1.2208240263000598,2.9351187269835215,0.6756429824369613,1.4434621347292633,1.166505966642592,0.3990111891639308,0.6671117751676817,1.069089894267241
8,225,50,mean,75.39208333333333,2.2908333333333335,19.95104166666667,67.73291666666667,3.620208333333333,22.503541666666667,-7.659166666666667,1.329375,2.5525,8.485411538051656
9,225,50,std,5.06764243240336,0.7493368226364331,3.810735808539116,6.456567811755827,1.268476200236873,2.105200743026592,1.715574258218219,0.597645758060458,1.8115051928796087,1.1781011331374978
10,250,10,mean,73.9775,2.3810416666666665,21.46291666666667,66.200625,3.406041666666667,24.986874999999998,-7.776875000000001,1.0250000000000001,3.523958333333334,8.725341984914445
11,250,10,std,1.538066622799614,0.6264056179720536,1.8509330118036138,1.9907866575696775,0.6471434435461915,0.7137678156661668,0.9537521785480262,0.3070380113691657,1.4566702624637116,0.9369003395715223
12,250,20,mean,72.0675,1.3202083333333334,21.815208333333334,61.99041666666667,3.0922916666666667,23.661041666666666,-10.077083333333334,1.7720833333333335,1.8458333333333334,10.4660225153376
13,250,20,std,0.8315750244425314,0.379767507732136,2.142474200627538,1.5489309399510325,0.5845538017694527,1.0916808036007388,1.2923044867695943,0.47011975990430593,1.137703609709532,1.2947706521927826
14,250,30,mean,75.61270833333333,2.4554166666666664,21.050416666666667,61.995416666666664,5.640416666666667,23.54583333333333,-13.617291666666668,3.185,2.4954166666666664,14.296959053561375
15,250,30,std,3.885849253864445,0.8840356167209587,2.147121733295216,2.6499698579846065,1.8431990672248182,1.0818027376192796,1.8266941883636172,1.0203065872152808,1.8065306568625945,2.209325252376718
16,250,40,mean,74.02729166666667,1.9733333333333334,22.635624999999994,59.518125,4.9783333333333335,23.085000000000004,-14.509166666666665,3.0049999999999994,0.449375,14.918956819639623
17,250,40,std,1.6555628207791144,0.4749214194052834,2.1804361326861663,2.429592957984807,0.3571121364700231,0.6691849599612186,1.2381297380432124,0.39608724592314093,1.6406737150822226,1.2095386160550299
18,250,50,mean,71.273125,2.0275,20.240416666666665,54.48979166666667,4.916458333333334,20.645416666666666,-16.783333333333335,2.8889583333333335,0.4049999999999998,17.14816034785873
19,250,50,std,1.4717700390592077,0.39836100381651585,1.026023014824889,2.9201358825737946,0.3731834845227845,1.5776308096735454,1.6456096759784071,0.27250797047358305,1.9471036864937232,1.6023533528716014
20,275,10,mean,77.07859375,2.69625,18.464999999999996,59.19609375,5.6646875,21.18625,-17.8825,2.9684375,2.72125,18.39104760175922
